4;154;896;2
5;140;14134;2
5;144;10649;2
2;154;261;1
2;155;264;1
9;152;3580;3
2;156;191;1
4;155;2711;2
9;153;3799;3
9;155;1398;3
2;157;408;1
9;156;1056;3
4;157;1051;2
4;158;860;2
2;158;546;1
9;157;1287;3
9;158;1075;3
4;159;717;2
2;159;715;1
8;154;6022;3
2;160;85;1
4;160;470;2
8;155;6195;3
2;161;91;1
4;161;912;2
8;159;2853;3
8;160;2141;3
2;162;406;1
8;161;1767;3
4;162;1087;2
8;162;1326;3
9;159;4367;3
2;163;478;1
9;161;2963;3
4;164;1091;2
2;164;81;1
5;154;10750;2
2;165;94;1
2;166;174;1
5;155;12596;2
2;167;227;1
5;161;6342;2
5;165;2526;2
5;167;867;2
5;168;464;2
2;168;376;1
4;165;4091;2
2;169;86;1
5;169;2003;2
2;170;149;1
5;170;1834;2
5;171;1121;2
2;171;123;1
5;172;753;2
2;172;171;1
9;162;9913;3
9;163;10074;3
2;173;241;1
2;174;103;1
2;175;77;1
9;168;8500;3
2;176;431;1
8;172;5497;3
8;173;4542;3
9;176;1435;3
2;177;304;1
4;178;621;2
2;178;525;1
9;177;971;3
4;179;668;2
5;173;6306;2
5;174;5383;2
2;179;286;1
5;175;4924;2
2;180;406;1
5;180;1625;2
2;181;403;1
5;181;1284;2
5;182;849;2
2;182;81;1
4;180;3046;2
2;183;258;1
2;184;32;1
9;178;6333;3
9;179;5394;3
8;181;3777;3
4;185;1065;2
2;185;345;1
4;186;810;2
9;182;4650;3
2;186;301;1
4;187;866;2
9;183;3626;3
9;184;3484;3
2;187;477;1
9;186;1806;3
8;184;4618;3
8;185;4240;3
8;186;2894;3
2;188;590;1
4;189;1305;2
4;190;678;2
2;189;348;1
9;187;2258;3
9;188;2181;3
2;190;637;1
9;189;1343;3
2;191;98;1
9;190;1216;3
4;191;1123;2
2;192;270;1
4;192;688;2
9;191;1104;3
4;193;856;2
9;192;505;3
2;193;452;1
4;194;333;2
8;188;6304;3
5;184;10468;2
5;185;9825;2
2;194;276;1
5;189;6327;2
5;195;1028;2
4;195;650;2
2;195;508;1
5;196;950;2
4;196;369;2
2;196;140;1
8;189;7698;3
8;190;6985;3
2;197;132;1
2;198;185;1
5;197;1760;2
5;198;1935;2
2;199;308;1
5;199;851;2
4;197;3019;2
8;194;6071;3
8;197;3545;3
2;200;740;1
8;199;2751;3
2;201;439;1
4;200;2620;2
8;200;2701;3
4;202;1217;2
2;203;433;1
4;203;649;2
8;201;2878;3
4;204;565;2
2;204;261;1
8;202;3412;3
8;203;2528;3
4;205;1002;2
2;205;540;1
8;204;1825;3
9;200;5718;3
4;206;1173;2
5;200;6772;2
2;206;370;1
2;207;462;1
5;201;7332;2
2;208;220;1
5;202;6366;2
5;207;1722;2
5;208;1031;2
2;209;294;1
5;209;1377;2
5;210;621;2
5;211;296;2
2;210;481;1
2;211;148;1
5;212;523;2
2;212;427;1
4;207;6353;2
9;201;11135;3
2;213;229;1
2;214;28;1
5;213;1416;2
5;214;693;2
5;215;1107;2
5;216;432;2
2;215;367;1
9;204;12196;3
2;216;636;1
8;211;5803;3
8;213;4503;3
4;217;1205;2
9;215;2387;3
2;217;693;1
5;217;1305;2
2;218;69;1
5;218;1265;2
5;219;633;2
8;215;4501;3
2;219;376;1
2;220;162;1
2;221;215;1
4;218;4579;2
9;216;5340;3
9;219;3165;3
4;222;996;2
2;222;205;1
4;223;1091;2
2;223;19;1
4;224;600;2
9;222;1765;3
8;222;2155;3
4;225;272;2
5;220;5535;2
